Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
Bump_2911,1.097493,1.097493,0.0,0.0
CoupCons3D,0.212221,0.210291,0.6770615388311981,0.12840435290631466
Cube_Coup_dt0,1.108575,1.055366,0.85,0.6411931014152076
Cube_Coup_dt6,1.10849,1.076199,0.6627373502318541,0.41779511056254093
Flan_1565,0.996525,0.975569,0.4614925302507316,0.3989160596061337
GAP-road,1.170601,1.170601,0.0,0.0
GAP-web,16.820758,16.268815,0.6574951717555586,0.41800214211931924
Long_Coup_dt0,0.763702,0.763702,0.0,0.0
Long_Coup_dt6,0.763818,0.763818,0.0,0.0
ML_Geer,0.947236,0.924321,0.6627373502318541,0.41779511056254093
ML_Laplace,0.247532,0.246367,0.85,0.5860060213925844
Queen_4147,2.646372,2.646372,0.0,0.0
RM07R,0.333979,0.333979,0.0,0.0
af_shell10,0.46793,0.46793,0.0,0.0
arabic-2005,5.598927,5.313498,0.576210686505574,0.4907456394092015
bone010,0.618839,0.616857,0.85,0.5989329773274402
it-2004,10.118551,9.633418,0.7159669263186186,0.5092778506268894
ldoor,0.425493,0.41034,0.624622942424661,0.5697683486612063
sk-2005,16.977867,16.095481,0.5633987290214671,0.44963629542148553
uk-2002,2.876791,2.8304,0.3904,0.2336
uk-2005,8.443713,8.0927,0.6627,0.4178
webbase-2001,11.400154,11.2701,0.3909,0.2420